heat_con,layout,location,neighborhood,type_layout,area,building,decoration,direction,heat,name,price,subway,url,visiting,zone,zoneinfo
集中供暖,整租,望京,朝阳,房屋户型：2室1厅1卫  整租,87平米  ,世安家园  ,,东南,,世安家园 精装两居 家电齐全 随时入住 租期一年,9000,,https://bj.lianjia.com/zufang/101103120332.html,,望京租房/低楼层(共24层)/2000年建塔楼,2室1厅  
自供暖,暂无数据,长阳,房山,房屋户型：2室1厅1卫  ,86平米  ,原香小镇二区  ,,南 北,,原香小镇二区 2室1厅 3700元,3700,,https://bj.lianjia.com/zufang/101103120367.html,,长阳租房/中楼层(共6层)/2010年建板楼,2室1厅  
集中供暖,暂无数据,金融街,西城,房屋户型：1室1厅1卫  ,47平米  ,佟麟阁路62号院  ,,南,,佟麟阁路62号院 1室1厅 8000元,8000,,https://bj.lianjia.com/zufang/101103120387.html,,金融街租房/低楼层(共16层)/1985年建塔楼,1室1厅  
集中供暖,整租,阜成门,西城,房屋户型：3室1厅1卫  整租,90平米  ,北露园  ,,东 西,,北露园 精装三居室 家具家电齐全,12000,,https://bj.lianjia.com/zufang/101103120463.html,,阜成门租房/中楼层(共6层)/1993年建板楼,3室1厅  
集中供暖,暂无数据,西单,西城,房屋户型：2室1厅1卫  ,66平米  ,西交民巷62号院  ,,南 北,,西交民巷62号院 2室1厅 10000元,10000,,https://bj.lianjia.com/zufang/101103125205.html,,西单租房/高楼层(共12层)/1986年建板塔结合,2室1厅  
集中供暖,暂无数据,学院路,海淀,房屋户型：2室1厅1卫  ,88平米  ,富润家园  ,,东北,,富润家园 2室1厅 9300元,9300,,https://bj.lianjia.com/zufang/101103125249.html,,学院路租房/中楼层(共18层)/2000年建塔楼,2室1厅  
集中供暖,整租,百子湾,朝阳,房屋户型：2室1厅1卫  整租,102平米  ,百子湾家园二区  ,,南,,全南精装两居，视野开阔，户型方正,8500,,https://bj.lianjia.com/zufang/101103125250.html,,百子湾租房/低楼层(共24层)/2006年建板塔结合,2室1厅  
集中供暖,整租,四季青,海淀,房屋户型：4室2厅3卫  整租,197平米  ,汤泉逸墅  ,,南 北,,汤泉逸墅 四居室 双主卧设计 精装修 可办公 有车位,28000,,https://bj.lianjia.com/zufang/101103125257.html,,四季青租房/中楼层(共10层)/2005年建板楼,4室2厅  
自供暖,整租,奥林匹克公园,朝阳,房屋户型：3室2厅2卫  整租,152平米  ,天月园  ,,南 北,,奥森精装修三居室   家具家电齐全  拎包即住,16000,,https://bj.lianjia.com/zufang/101103125258.html,,奥林匹克公园租房/低楼层(共14层)/2004年建板楼,3室2厅  
自供暖,整租,九棵树(家乐福),通州,房屋户型：2室1厅1卫  整租,86平米  ,阿尔法社区二期  ,,南 北,,阿尔法精装两居室一层带花园可清空可配齐,4850,,https://bj.lianjia.com/zufang/101103125261.html,,九棵树(家乐福)租房/低楼层(共6层)/2009年建板楼,2室1厅  
集中供暖,暂无数据,亚运村小营,朝阳,房屋户型：2室2厅2卫  ,101平米  ,凯旋城  ,,东 西,,凯旋城 2室2厅 12500元,12500,,https://bj.lianjia.com/zufang/101103125296.html,,亚运村小营租房/中楼层(共18层)/2007年建板塔结合,2室2厅  
自供暖,整租,方庄,丰台,房屋户型：4室2厅2卫  整租,261平米  ,时代芳群  ,,南 北,,时代芳群一层复式，临街带花园。,95000,,https://bj.lianjia.com/zufang/101103125354.html,,方庄租房/低楼层(共30层)/2003年建塔楼,4室2厅  
集中供暖,整租,首尔甜城,燕郊,房屋户型：2室1厅1卫  整租,70平米  ,首尔甜城MOBO公寓  ,,南,,首尔甜城MOBO公寓 2室1厅 1500元,1500,,https://lf.lianjia.com/zufang/101103125379.html,,首尔甜城租房/高楼层(共26层)/2014年建塔楼,2室1厅  
集中供暖,暂无数据,北苑,朝阳,房屋户型：2房间0卫  ,70平米  ,中国铁建广场  ,,东 北,,中国铁建广场 2房间0卫 8000元,8000,,https://bj.lianjia.com/zufang/101103125419.html,,北苑租房/高楼层(共29层)/2013年建塔楼,2房间0卫  
暂无数据,整租,东四,东城,房屋户型：2室1厅1卫  整租,35平米  ,东四三条  ,,南,,东四三条 2室1厅 7000元,7000,,https://bj.lianjia.com/zufang/101103124857.html,,东四租房/低楼层(共1层)/暂无数据,2室1厅  
集中供暖,整租,东大桥,朝阳,房屋户型：1室1厅1卫  整租,88平米  ,新城国际  ,,西北,,新城国际高层景观房 业主全新装修 家电齐全 随时看房,21000,,https://bj.lianjia.com/zufang/101103124885.html,,东大桥租房/高楼层(共32层)/2003年建塔楼,1室1厅  
自供暖,整租,常营,朝阳,房屋户型：1室1厅1卫  整租,66平米  ,优点社区  ,,东 西,,优点社区 东向一居 环境优美 居住适宜 可短租半年,5000,,https://bj.lianjia.com/zufang/101103124958.html,,常营租房/高楼层(共9层)/2006年建板塔结合,1室1厅  
集中供暖,整租,定慧寺,海淀,房屋户型：2室1厅1卫  整租,60平米  ,定慧北里  ,,南 北,,定慧寺优质正规两室一厅低楼层，精装修，拎包入住,6500,,https://bj.lianjia.com/zufang/101103124969.html,,定慧寺租房/低楼层(共6层)/1996年建板楼,2室1厅  
集中供暖,整租,天通苑,昌平,房屋户型：3室2厅2卫  整租,154平米  ,天通苑东二区  ,,西南 北,,天通苑东二区 3室2厅 13800元,13800,,https://bj.lianjia.com/zufang/101103125036.html,,天通苑租房/低楼层(共7层)/2001年建板楼,3室2厅  
集中供暖,暂无数据,燕顺路东,燕郊,房屋户型：3室1厅1卫  ,108平米  ,福城上上城三季  ,,南 北,,福城上上城三季 3室1厅 1500元,1500,,https://lf.lianjia.com/zufang/101103125041.html,,燕顺路东租房/中楼层(共23层)/2011年建板塔结合,3室1厅  
自供暖,暂无数据,三元桥,朝阳,房屋户型：3室1厅3卫  ,308平米  ,SOHO北京公馆  ,,南 北,,SOHO北京公馆 3室1厅 50000元,50000,,https://bj.lianjia.com/zufang/101103125831.html,,三元桥租房/低楼层(共25层)/2008年建塔楼,3室1厅  
集中供暖,整租,常营,朝阳,房屋户型：2室1厅1卫  整租,93平米  ,北京新天地  ,,东南 北,,北京新天地 2室1厅 7000元,7000,,https://bj.lianjia.com/zufang/101103125851.html,,常营租房/高楼层(共28层)/2008年建板塔结合,2室1厅  
集中供暖,暂无数据,福成四期,燕郊,房屋户型：1室0厅1卫  ,48平米  ,福泽御园  ,,北,,福泽御园北向开间 舒适温馨  适合一家三口居住,1150,,https://lf.lianjia.com/zufang/101103125903.html,,福成四期租房/低楼层(共18层)/2007年建板塔结合,1室0厅  
集中供暖,整租,朝青,朝阳,房屋户型：2室1厅1卫  整租,59平米  ,青年路51号  ,,南 北,,青年路51号 2室1厅 6500元,6500,,https://bj.lianjia.com/zufang/101103125905.html,,朝青租房/中楼层(共6层)/1995年建板楼,2室1厅  
集中供暖,整租,甘露园,朝阳,房屋户型：2室2厅2卫  整租,145平米  ,丽景馨居  ,,南,,丽景馨居 大两居 看房随时 拎包入住,8800,,https://bj.lianjia.com/zufang/101103125940.html,,甘露园租房/低楼层(共22层)/2001年建塔楼,2室2厅  
自供暖,暂无数据,天洋城,燕郊,房屋户型：1室1厅1卫  ,64平米  ,华泰靖湘园  ,,南,,华泰靖湘园 1室1厅 1300元,1300,,https://lf.lianjia.com/zufang/101103125973.html,,天洋城租房/低楼层(共24层)/2013年建板塔结合,1室1厅  
集中供暖,暂无数据,福成五期公交总站,燕郊,房屋户型：1室0厅1卫  ,47平米  ,忆江南  ,,北,,忆江南 1室0厅 1200元,1200,,https://lf.lianjia.com/zufang/101103126001.html,,福成五期公交总站租房/中楼层(共24层)/2008年建板塔结合,1室0厅  
集中供暖,暂无数据,福成四期,燕郊,房屋户型：2室1厅1卫  ,86平米  ,福泽御园  ,,南 北,,福泽御园 2室1厅 1500元,1500,,https://lf.lianjia.com/zufang/101103126029.html,,福成四期租房/高楼层(共28层)/2007年建板塔结合,2室1厅  
集中供暖,暂无数据,福成五期公交总站,燕郊,房屋户型：2室1厅1卫  ,81平米  ,福城上上城五期  ,,南 北,,福城上上城五期 2室1厅 1800元,1800,,https://lf.lianjia.com/zufang/101103126046.html,,福成五期公交总站租房/中楼层(共18层)/2009年建板楼,2室1厅  
集中供暖,整租,沙河,昌平,房屋户型：2室2厅1卫  整租,86平米  ,北街家园七区  ,,南 北,,北街家园七区，南北通透，采光良好的两居室,4000,,https://bj.lianjia.com/zufang/101103126078.html,,沙河租房/低楼层(共17层)/2011年建板塔结合,2室2厅  
暂无数据,整租,东四,东城,房屋户型：1室1厅1卫  整租,18平米  ,石桥胡同  ,,东 南,,东四 张自忠路 石桥胡同 东四北大街,3800,,https://bj.lianjia.com/zufang/101103126208.html,,东四租房/低楼层(共1层)/暂无数据,1室1厅  
集中供暖,整租,九棵树(家乐福),通州,房屋户型：4室2厅2卫  整租,147平米  ,龙湖蔚澜香醍  ,精装修,南 北,集中供暖,龙湖高档社区，精装修，家具家电齐全，拎包入住,16500,近地铁,https://bj.lianjia.com/zufang/101103126212.html,随时看房,九棵树(家乐福)租房/高楼层(共18层)/2013年建塔楼,4室2厅  
集中供暖,整租,黄村北,大兴,房屋户型：3房间1卫  整租,55平米  ,保利茉莉公馆  ,,南 北,,大兴区保利茉莉公馆 复式格局 南北向 办公楼 可注册,6800,,https://bj.lianjia.com/zufang/101103126250.html,,黄村北租房/中楼层(共9层)/2011年建板塔结合,3房间1卫  
集中供暖,暂无数据,六铺炕,西城,房屋户型：2室1厅1卫  ,50平米  ,人定湖西里  ,,南,,人定湖西里 2室1厅 6900元,6900,,https://bj.lianjia.com/zufang/101103126259.html,,六铺炕租房/高楼层(共5层)/1982年建板楼,2室1厅  
集中供暖,整租,望京,朝阳,房屋户型：4室1厅2卫  整租,212平米  ,东湖湾三期  ,,南 北,,东湖湾三期首出租三居室 高层临河,29000,,https://bj.lianjia.com/zufang/101103126262.html,,望京租房/高楼层(共28层)/2012年建板楼,4室1厅  
集中供暖,整租,大兴其它,大兴,房屋户型：3室1厅2卫  整租,90平米  ,万科金域东郡  ,,南 北,,万科金域东郡 3室1厅 6000元,6000,,https://bj.lianjia.com/zufang/101103125478.html,,大兴其它租房/高楼层(共28层)/2016年建板楼,3室1厅  
集中供暖,整租,五棵松,海淀,房屋户型：1室1厅1卫  整租,50平米  ,金沟河5号院  ,,西,,金沟河5号院 1室1厅 5000元,5000,,https://bj.lianjia.com/zufang/101103125491.html,,五棵松租房/低楼层(共6层)/1993年建板楼,1室1厅  
集中供暖,整租,福成四期,燕郊,房屋户型：1室1厅1卫  整租,80平米  ,福泽御园  ,,南,,福泽御园南向一居，看房方便，业主诚意出租,1600,,https://lf.lianjia.com/zufang/101103125509.html,,福成四期租房/低楼层(共21层)/2007年建板塔结合,1室1厅  
集中供暖,暂无数据,燕京航城,燕郊,房屋户型：3室1厅1卫  ,99平米  ,燕京航城  ,,东南,,燕京航城 3室1厅 1800元,1800,,https://lf.lianjia.com/zufang/101103125502.html,,燕京航城租房/高楼层(共26层)/2009年建板塔结合,3室1厅  
暂无数据,整租,丰台其它,丰台,房屋户型：1室1厅1卫  整租,39平米  ,张郭庄小区  ,,南 北,,张郭庄低楼层简装正规一居室家电齐全,2400,,https://bj.lianjia.com/zufang/101103125549.html,,丰台其它租房/低楼层(共6层)/1988年建板楼,1室1厅  
集中供暖,整租,CBD,朝阳,房屋户型：3室1厅2卫  整租,183平米  ,SOHO现代城  ,,西南,,SOHO现代城南区南向大三室 低楼层办公方便随时起租,21000,,https://bj.lianjia.com/zufang/101102553464.html,,CBD租房/低楼层(共28层)/2000年建塔楼,3室1厅  
集中供暖,整租,潞苑,通州,房屋户型：4室2厅2卫  整租,218平米  ,V7九间堂  ,,南 北,,通州北关v7九间堂别墅出租 上叠带院子,20000,,https://bj.lianjia.com/zufang/101102541894.html,,潞苑租房/中楼层(共5层)/暂无数据,4室2厅  
暂无数据,整租,昌平其它,昌平,房屋户型：5室3厅3卫  整租,353平米  ,北京湾  ,,南 北,,环 境 清 幽 北 京 湾 的 独 栋 别 墅,12000,,https://bj.lianjia.com/zufang/101102542106.html,,昌平其它租房/低楼层(共2层)/2013年建暂无数据,5室3厅  
集中供暖,暂无数据,燕顺路东,燕郊,房屋户型：2室1厅1卫  ,88平米  ,东方夏威夷北岸  ,,南 北,,东方夏威夷北岸 2室1厅 1800元,1800,,https://lf.lianjia.com/zufang/101102542475.html,,燕顺路东租房/中楼层(共33层)/2009年建板塔结合,2室1厅  
集中供暖,暂无数据,天洋城4代,燕郊,房屋户型：2室1厅1卫  ,78平米  ,夏威夷蓝湾  ,,南,,夏威夷蓝湾南向两居室 低楼层 居住方便,1400,,https://lf.lianjia.com/zufang/101102538126.html,,天洋城4代租房/低楼层(共33层)/2017年建板楼,2室1厅  
集中供暖,整租,天通苑,昌平,房屋户型：3室1厅2卫  整租,129平米  ,天通苑东一区  ,,南 北,,天通苑东一区 精装修大三居 适合一家人居住,8000,,https://bj.lianjia.com/zufang/101102538279.html,,天通苑租房/中楼层(共6层)/2001年建板楼,3室1厅  
集中供暖,整租,清河,海淀,房屋户型：3室2厅3卫  整租,243平米  ,专家国际花园  ,,南 北,,国际花园南北通透三居室靠谱出租,28000,,https://bj.lianjia.com/zufang/101102538406.html,,清河租房/中楼层(共5层)/2008年建板楼,3室2厅  
暂无数据,整租,小西天,海淀,房屋户型：3室1厅1卫  整租,119平米  ,文慧园北路甲6号院  ,,西南,,小西天文慧园北路甲6号院精装西南大三居可当二居室,12000,,https://bj.lianjia.com/zufang/101102538941.html,,小西天租房/高楼层(共6层)/1998年建板楼,3室1厅  
集中供暖,暂无数据,燕顺路西,燕郊,房屋户型：2室1厅1卫  ,72平米  ,星河皓月  ,,东 西,,星河皓月 2室1厅 1500元,1500,,https://lf.lianjia.com/zufang/101102538945.html,,燕顺路西租房/低楼层(共6层)/2009年建板楼,2室1厅  
集中供暖,整租,大望路,朝阳,房屋户型：3室1厅2卫  整租,158平米  ,珠江帝景  ,,南,,珠江帝景商务型公寓可办公全南158平三居室报价22000,22000,,https://bj.lianjia.com/zufang/101102538992.html,,大望路租房/中楼层(共25层)/2004年建塔楼,3室1厅  
集中供暖,暂无数据,天洋城,燕郊,房屋户型：2室2厅1卫  ,89平米  ,天洋城  ,,南,,天洋城 2室2厅 2000元,2000,,https://lf.lianjia.com/zufang/101102539241.html,,天洋城租房/低楼层(共24层)/2011年建板塔结合,2室2厅  
集中供暖,暂无数据,首尔甜城,燕郊,房屋户型：2室1厅1卫  ,80平米  ,首尔甜城MOBO公寓  ,,东,,首尔甜城MOBO公寓 2室1厅 1600元,1600,,https://lf.lianjia.com/zufang/101102539504.html,,首尔甜城租房/中楼层(共26层)/2013年建塔楼,2室1厅  
暂无数据,整租,玉泉路,海淀,房屋户型：1室1厅1卫  整租,55平米  ,金隅瑞和园  ,,南 北,,金玉瑞和园精装正规一居 采光好 家具家电都有 随时看,5300,,https://bj.lianjia.com/zufang/101102540059.html,,玉泉路租房/高楼层(共16层)/暂无数据,1室1厅  
集中供暖,暂无数据,首尔甜城,燕郊,房屋户型：2室1厅1卫  ,77平米  ,首尔甜城一期  ,,南,,首尔甜城一期 2室1厅 1700元,1700,,https://lf.lianjia.com/zufang/101102540106.html,,首尔甜城租房/低楼层(共33层)/2014年建塔楼,2室1厅  
集中供暖,暂无数据,马驹桥,通州,房屋户型：2室1厅1卫  ,93平米  ,合生世界村  ,,南,,合生世界村南向的两居，家具家电都有,4500,,https://bj.lianjia.com/zufang/101102553993.html,,马驹桥租房/低楼层(共14层)/2011年建板楼,2室1厅  
集中供暖,暂无数据,福成五期公交总站,燕郊,房屋户型：4室2厅2卫  ,166平米  ,天子庄园二期  ,,西南 北,,天子庄园二期 4室2厅 3500元,3500,,https://lf.lianjia.com/zufang/101102554573.html,,福成五期公交总站租房/高楼层(共4层)/2004年建板楼,4室2厅  
集中供暖,暂无数据,福成五期公交总站,燕郊,房屋户型：3室2厅1卫  ,130平米  ,福城上上城五期  ,,南 北,,福城上上城五期 3室2厅 2700元,2700,,https://lf.lianjia.com/zufang/101102555317.html,,福成五期公交总站租房/中楼层(共28层)/2009年建板楼,3室2厅  
集中供暖,整租,滨河西区,门头沟,房屋户型：1室1厅1卫  整租,55平米  ,承泽苑  ,,东,,承泽苑 一室一厅一居室 看房方便,3000,,https://bj.lianjia.com/zufang/101102555402.html,,滨河西区租房/高楼层(共6层)/2000年建板楼,1室1厅  
暂无数据,暂无数据,燕顺路国道,燕郊,房屋户型：2室1厅1卫  ,90平米  ,汇福悦榕湾  ,,东 南 北,,汇福悦榕湾 2室1厅 2000元,2000,,https://lf.lianjia.com/zufang/101102556154.html,,燕顺路国道租房/高楼层(共30层)/暂无数据,2室1厅  
集中供暖,暂无数据,燕顺路东,燕郊,房屋户型：2室1厅2卫  ,86平米  ,嘉都  ,,南,,嘉都 2室1厅 1600元,1600,,https://lf.lianjia.com/zufang/101102556201.html,,燕顺路东租房/高楼层(共33层)/板楼,2室1厅  
集中供暖,整租,广安门,西城,房屋户型：1室1厅2卫  整租,38平米  ,荣丰2008  ,精装修,东,集中供暖,广安门达官营荣丰三期复式 拎包入住 可以合租,6000,近地铁,https://bj.lianjia.com/zufang/101102558585.html,随时看房,广安门租房/低楼层(共16层)/2007年建塔楼,1室1厅  
集中供暖,暂无数据,首尔甜城,燕郊,房屋户型：2室2厅1卫  ,86平米  ,首尔甜城一期  ,,南,,首尔甜城一期 2室2厅 1000元,1000,,https://lf.lianjia.com/zufang/101102562425.html,,首尔甜城租房/中楼层(共33层)/2014年建塔楼,2室2厅  
集中供暖,暂无数据,燕顺路国道,燕郊,房屋户型：1室1厅1卫  ,52平米  ,东方夏威夷南岸二期  ,,南,,东方夏威夷南岸二期 1室1厅 1700元,1700,,https://lf.lianjia.com/zufang/101102557752.html,,燕顺路国道租房/中楼层(共17层)/2012年建板楼,1室1厅  
集中供暖,暂无数据,燕京航城,燕郊,房屋户型：2室1厅1卫  ,68平米  ,燕京航城  ,,东北,,燕京航城，东北朝向两居室，家电家具齐全,1200,,https://lf.lianjia.com/zufang/101102739851.html,,燕京航城租房/低楼层(共26层)/2009年建板塔结合,2室1厅  
集中供暖,暂无数据,首尔甜城,燕郊,房屋户型：2室1厅1卫  ,85平米  ,首尔甜城一期  ,,南,,首尔甜城一期 2室1厅 1500元,1500,,https://lf.lianjia.com/zufang/101102740291.html,,首尔甜城租房/高楼层(共29层)/2014年建塔楼,2室1厅  
集中供暖,暂无数据,首尔甜城,燕郊,房屋户型：1室1厅1卫  ,50平米  ,首尔甜城MOBO公寓  ,,北,,首尔甜城MOBO公寓 1室1厅 1200元,1200,,https://lf.lianjia.com/zufang/101102740298.html,,首尔甜城租房/低楼层(共33层)/2013年建塔楼,1室1厅  
集中供暖,整租,首都机场,朝阳,房屋户型：2室1厅1卫  整租,54平米  ,南平里  ,,南 北,,机场南平里两居室   南北通透  楼层低,4500,,https://bj.lianjia.com/zufang/101102740341.html,,首都机场租房/低楼层(共6层)/1987年建板楼,2室1厅  
集中供暖,暂无数据,燕京航城,燕郊,房屋户型：3室1厅1卫  ,109平米  ,燕京航城  ,,西南,,燕京航城西南三居室，家具家电齐全,2200,,https://lf.lianjia.com/zufang/101102741222.html,,燕京航城租房/中楼层(共34层)/2011年建板塔结合,3室1厅  
集中供暖,暂无数据,天洋城4代,燕郊,房屋户型：2室1厅1卫  ,93平米  ,天洋城4代北区  ,,南 北,,天洋城4代北区 2室1厅 1200元,1200,,https://lf.lianjia.com/zufang/101102741871.html,,天洋城4代租房/中楼层(共33层)/2016年建板塔结合,2室1厅  
集中供暖,暂无数据,燕顺路国道,燕郊,房屋户型：3室1厅2卫  ,120平米  ,东贸国际  ,,南,,东贸国际 3室1厅 3800元,3800,,https://lf.lianjia.com/zufang/101102741964.html,,燕顺路国道租房/高楼层(共33层)/2009年建塔楼,3室1厅  
集中供暖,合租,西坝河,朝阳,房屋户型：2室1厅1卫  合租,12平米  ,光熙门北里  ,自如友家4.0米苏,东,集中供暖,光熙门北里2居室 02卧,3790,近地铁,https://bj.lianjia.com/zufang/BJ0004892947.html,随时看房,西坝河租房/高楼层(共22层)/1989年建塔楼,2室1厅  
集中供暖,合租,长阳,房山,房屋户型：5室1厅1卫  合租,14平米  ,北京城建国誉府  ,,南,,北京城建国誉府5居室 02卧,1590,,https://bj.lianjia.com/zufang/BJ0004803499.html,,长阳租房/中楼层(共19层)/2017年建板楼,5室1厅  
集中供暖,整租,北大地,丰台,房屋户型：1室1厅1卫  整租,40平米  ,东安街头条  ,,南,,东安街头条1居室,4590,,https://bj.lianjia.com/zufang/BJ0004848827.html,,北大地租房/高楼层(共6层)/1989年建板楼,1室1厅  
集中供暖,整租,潞苑,通州,房屋户型：2室1厅1卫  整租,83平米  ,珠江东都国际  ,,南,,珠江东都国际2居室,5130,,https://bj.lianjia.com/zufang/BJ0004813212.html,,潞苑租房/低楼层(共18层)/2015年建板楼,2室1厅  
自供暖,整租,清河,海淀,房屋户型：1室1厅1卫  整租,37平米  ,高巢  ,原味,北,自供暖,高巢1居室,6090,近地铁,https://bj.lianjia.com/zufang/BJ0004813120.html,随时看房,清河租房/低楼层(共15层)/2005年建塔楼,1室1厅  
集中供暖,整租,首都机场,朝阳,房屋户型：2室1厅1卫  整租,52平米  ,北平里  ,,南,,北平里2居室,4290,,https://bj.lianjia.com/zufang/BJ0004845991.html,,首都机场租房/高楼层(共6层)/1991年建板楼,2室1厅  
集中供暖,合租,武夷花园,通州,房屋户型：3室1厅1卫  合租,11平米  ,京贸国际城西区  ,,北,,京贸国际城西区3居室 03卧,2060,,https://bj.lianjia.com/zufang/BJ0004810943.html,,武夷花园租房/中楼层(共35层)/2011年建塔楼,3室1厅  
集中供暖,整租,西罗园,东城,房屋户型：2室1厅1卫  整租,70平米  ,管村26号院  ,原味,南,集中供暖,管村26号院2居室,6130,近地铁,https://bj.lianjia.com/zufang/BJ0004812376.html,随时看房,西罗园租房/高楼层(共6层)/1997年建板楼,2室1厅  
集中供暖,合租,武夷花园,通州,房屋户型：4室1厅1卫  合租,13平米  ,京贸国际城西区  ,,西,,京贸国际城西区4居室 05卧,2090,,https://bj.lianjia.com/zufang/BJ0004811305.html,,武夷花园租房/高楼层(共35层)/2011年建塔楼,4室1厅  
暂无数据,合租,海淀北部新区,海淀,房屋户型：3室1厅1卫  合租,14平米  ,友谊嘉园三期  ,,南,,友谊嘉园三期3居室 03卧,2460,,https://bj.lianjia.com/zufang/BJ0004809714.html,,海淀北部新区租房/低楼层(共15层)/暂无数据,3室1厅  
集中供暖,合租,洋桥,丰台,房屋户型：3室1厅1卫  合租,7平米  ,海户西里34号院  ,自如友家4.0米苏,北,集中供暖,海户西里34号院3居室 02卧,2530,近地铁,https://bj.lianjia.com/zufang/BJ0004878247.html,随时看房,洋桥租房/中楼层(共18层)/1998年建塔楼,3室1厅  
集中供暖,整租,新宫,丰台,房屋户型：2室1厅1卫  整租,58平米  ,南庭新苑北区  ,原味,西,集中供暖,南庭新苑北区2居室,5890,近地铁,https://bj.lianjia.com/zufang/BJ0004804673.html,随时看房,新宫租房/低楼层(共16层)/2009年建塔楼,2室1厅  
暂无数据,合租,海淀北部新区,海淀,房屋户型：3室1厅1卫  合租,12平米  ,友谊嘉园三期  ,,南,,友谊嘉园三期3居室 03卧,2460,,https://bj.lianjia.com/zufang/BJ0004809723.html,,海淀北部新区租房/低楼层(共15层)/暂无数据,3室1厅  
集中供暖,整租,后沙峪,顺义,房屋户型：2室1厅1卫  整租,58平米  ,双裕小区  ,,南,,双裕小区2居室,4890,,https://bj.lianjia.com/zufang/BJ0004876362.html,,后沙峪租房/低楼层(共6层)/1994年建板楼,2室1厅  
集中供暖,整租,后沙峪,顺义,房屋户型：2室1厅1卫  整租,58平米  ,双裕小区  ,,南,,双裕小区2居室,4960,,https://bj.lianjia.com/zufang/BJ0004877513.html,,后沙峪租房/高楼层(共6层)/1994年建板楼,2室1厅  
集中供暖,整租,望京,朝阳,房屋户型：1室1厅1卫  整租,69平米  ,北纬40度二期  ,原味,南,集中供暖,北纬40度二期1居室,8260,近地铁,https://bj.lianjia.com/zufang/BJ0004890290.html,随时看房,望京租房/低楼层(共29层)/2009年建塔楼,1室1厅  
集中供暖,整租,回龙观,昌平,房屋户型：1室1厅1卫  整租,55平米  ,首开国风美唐综合楼  ,自如整租2.0原味,南,集中供暖,首开国风美唐一期1居室,5890,近地铁,https://bj.lianjia.com/zufang/BJ0004800770.html,随时看房,回龙观租房/高楼层(共17层)/2014年建塔楼,1室1厅  
集中供暖,整租,望京,朝阳,房屋户型：1室1厅1卫  整租,39平米  ,花家地西里三区  ,,南,,花家地西里三区1居室,6760,,https://bj.lianjia.com/zufang/BJ0004894031.html,,望京租房/中楼层(共4层)/1986年建板楼,1室1厅  
集中供暖,整租,木樨地,西城,房屋户型：2室1厅1卫  整租,60平米  ,复兴门外大街  ,原味,南,集中供暖,复兴门外大街2居室,9390,近地铁,https://bj.lianjia.com/zufang/BJ0004859264.html,随时看房,木樨地租房/低楼层(共12层)/1980年建塔楼,2室1厅  
集中供暖,合租,苏州桥,海淀,房屋户型：3室1厅1卫  合租,14平米  ,稻香园西里  ,自如友家4.0拿铁,南,集中供暖,稻香园西里3居室 01卧,4690,近地铁,https://bj.lianjia.com/zufang/BJ0004872218.html,随时看房,苏州桥租房/低楼层(共6层)/1990年建板楼,3室1厅  
集中供暖,整租,太平桥,丰台,房屋户型：2室1厅1卫  整租,50平米  ,太平桥东里  ,原味,东,集中供暖,太平桥东里2居室,6590,近地铁,https://bj.lianjia.com/zufang/BJ0004879411.html,随时看房,太平桥租房/高楼层(共24层)/1989年建塔楼,2室1厅  
自供暖,合租,滨河西区,门头沟,房屋户型：5室1厅1卫  合租,13平米  ,倚山嘉园  ,,南,,倚山嘉园5居室 06卧,1760,,https://bj.lianjia.com/zufang/BJ0004880304.html,,滨河西区租房/高楼层(共6层)/2008年建板楼,5室1厅  
集中供暖,整租,天宁寺,西城,房屋户型：1室1厅1卫  整租,39平米  ,天宁寺前街南里  ,原味,东,集中供暖,天宁寺前街南里1居室,5660,近地铁,https://bj.lianjia.com/zufang/BJ0004879761.html,随时看房,天宁寺租房/低楼层(共5层)/1992年建板楼,1室1厅  
集中供暖,合租,洋桥,丰台,房屋户型：3室1厅1卫  合租,10平米  ,海户西里  ,,北,,海户西里3居室 03卧,2530,,https://bj.lianjia.com/zufang/BJ0004853284.html,,洋桥租房/高楼层(共18层)/1988年建塔楼,3室1厅  
集中供暖,整租,洋桥,丰台,房屋户型：2室1厅1卫  整租,52平米  ,马家堡东里  ,,南,,马家堡东里2居室,6390,,https://bj.lianjia.com/zufang/BJ0004858837.html,,洋桥租房/高楼层(共6层)/1986年建板楼,2室1厅  
集中供暖,合租,望京,朝阳,房屋户型：3室1厅1卫  合租,13平米  ,花家地西里一区  ,自如友家4.0拿铁,西南,集中供暖,花家地西里一区3居室 01卧,3590,近地铁,https://bj.lianjia.com/zufang/BJ0004873619.html,随时看房,望京租房/低楼层(共18层)/1995年建塔楼,3室1厅  
暂无数据,合租,白石桥,海淀,房屋户型：3室1厅1卫  合租,9平米  ,钢铁研究院  ,,南,,钢铁研究院3居室 03卧,4790,,https://bj.lianjia.com/zufang/BJ0004883868.html,,白石桥租房/中楼层(共16层)/1994年建塔楼,3室1厅  
集中供暖,合租,清河,海淀,房屋户型：2室1厅1卫  合租,13平米  ,宝盛北里  ,,北,,宝盛北里2居室 02卧,3790,,https://bj.lianjia.com/zufang/BJ0004884286.html,,清河租房/中楼层(共6层)/2004年建板楼,2室1厅  
